attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,description,top_review,ID
Landmark's Keystone Art Cinema,"8702 Keystone Xing Located Within the Fashion Mall at Keystone, Indianapolis, IN 46240-7621",46240,4,12,https://www.tripadvisor.com/Attraction_Review-g37209-d8661036-Reviews-Landmark_s_Keystone_Art_Cinema-Indianapolis_Indiana.html,Landmark's Keystone Art Cinema,I'm a huge fan of Keystone art located @ the fashion mall Keystone. their selections of films is always wonderful. And I prefer the seats in their theatre to anyone else in town.,1947
Pirate’s Quest Mini Golf,"3421 E 96th St, Indianapolis, IN 46240-1425",46240,4,13,https://www.tripadvisor.com/Attraction_Review-g37209-d8525627-Reviews-Pirate_s_Quest_Mini_Golf-Indianapolis_Indiana.html,Pirate’s Quest Mini Golf,"Went with grandson and 4 adults, cost £55 different but felt overpriced for a novel mimi golf , at reception/ shop tried to buy a gift for grandson marked at £4:50 young receptionist tried to charge us £6:50 even though she scaned it, when pointed out she apologised but beware when buying gifts",1979
Woodland Entertainment Center,"3421 E 96th St, Indianapolis, IN 46240-1425",46240,4,8,https://www.tripadvisor.com/Attraction_Review-g37209-d9705761-Reviews-Woodland_Entertainment_Center-Indianapolis_Indiana.html,Woodland Entertainment Center,"Needed to kill some time before my daughters soccer tournament. Found this place online. SUPER Cool!!! They have minigolf, bowling a full arcade and Hologate (VR). The kids had a blast ❤💕. Will definitely come back if in town again. We need this in Southeast MI!! 😁👍",2430
Harley Davidson of Indianapolis,"4146 E 96th St, Indianapolis, IN 46240-3738",46240,4.5,2,https://www.tripadvisor.com/Attraction_Review-g37209-d12878766-Reviews-Harley_Davidson_of_Indianapolis-Indianapolis_Indiana.html,Harley Davidson of Indianapolis,,2544
Serenity Foot Spa,"3826 E 82nd St, Indianapolis, IN 46240-4328",46240,5,1,https://www.tripadvisor.com/Attraction_Review-g37209-d14788115-Reviews-Serenity_Foot_Spa-Indianapolis_Indiana.html,Serenity Foot Spa,Wow!!!!  Inexpensive and one of the best massages I’ve ever had. The staff are nice and owner treats you like royalty!!!  The facility is state-of-the-art and the ambiance is blissful!!!  You must go!!!,2819
Rolls-Royce Heritage Trust,"1911 Executive Drive, Indianapolis, IN 46241",46241,4.5,16,https://www.tripadvisor.com/Attraction_Review-g37209-d4039970-Reviews-Rolls_Royce_Heritage_Trust-Indianapolis_Indiana.html,"The James A. Allison Exhibition is a collection of + 20 Allison and Rolls-Royce aircraft and other engines from 1915 and WWI to the most modern F-35 Joint Strike Fighter LiftSystem, with lots of Jets, Turboprops, Helicopter and VTOL engines in-between. The Exhibition features electronic touch screen displays that help explain how they work, and how they are used. Each display has large scale models of the aircraft they power. The Exhibition opened on January 24, 2017 and will continue to grow with new exhibits on a regular basis. Group Tours by prior scheduling",,773
Stout Field Park,"3820 W Bradbury Ave, Indianapolis, IN 46241-5201",46241,3,2,https://www.tripadvisor.com/Attraction_Review-g37209-d16811103-Reviews-Stout_Field_Park-Indianapolis_Indiana.html,Stout Field Park,Simple fun for kids. Splash park is small. Playground has something for all ages. Grounds were mostly clean. Area looks scarier than it is.,1501
Krannert Park,"605 S High School Rd, Indianapolis, IN 46241-1119",46241,4,3,https://www.tripadvisor.com/Attraction_Review-g37209-d17561712-Reviews-Krannert_Park-Indianapolis_Indiana.html,Krannert Park,"it is very sad that such a nice park was left almost abandoned regard its manutention, With toboggan and swimming pool, great space for family and kids.",1517
Western Bowl,"6441 W Washington St, Indianapolis, IN 46241-3024",46241,4.5,12,https://www.tripadvisor.com/Attraction_Review-g37209-d10538948-Reviews-Western_Bowl-Indianapolis_Indiana.html,Western Bowl,,1671
The Mystery Cafe,"2610 S Lynhurst Dr The Library Restaurant & Pub, Indianapolis, IN 46241-8629",46241,4.5,21,https://www.tripadvisor.com/Attraction_Review-g37209-d7383111-Reviews-The_Mystery_Cafe-Indianapolis_Indiana.html,"Each show is about a fictitious group of people present for some reason or another to have dinner when murder interrupts their proceedings. The arriving audience is this group of people. Two very funny performers play the main characters in the story while volunteers play the minor characters. Dinner is served a course at a time between the acts. Enjoy a great dinner from one of Indianapolis's finest restaurant The Library Restaurant & Pub. For those wanting to be a detective you can make your guess at the end of the third act. We will discover who the killer is in Act 4. After the show, we present a prize to the person whom best guessed who ""dunnit."" The second prize, is the Hammy award which is presented to the best audience character in the show. Each performance is unique because the audience is directly and deeply involved. The magic lies in the interaction and unbridled creativity which occur in a room full of people who began the evening as strangers, but go home as friends.","Located in the upstairs of the Milano Inn. Spiral staircase to get upstairs. Certain there is an elevator. I just didn't see it and had followed others up the stairs. Check in was smooth. They are expecting you. Staff very friendly. Do tip they share. Went here for a date night and to try something new. Didn't expect much. It seemed kind of cheesy and it was. Not a huge staff but well played out theme. Theme changes frequently. However, they quickly engaged the audience. Two at our table were given parts. I laughed at their acting skills. Tables interacted with other tables trying to figure out who did it. Few guessed correctly. It was a very pleasant experience. Prizes were won. ",1718
Katsumi's Teaching Kitchen,"6446 W Washington St, Indianapolis, IN 46241-3025",46241,5,12,https://www.tripadvisor.com/Attraction_Review-g37209-d12289867-Reviews-Katsumi_s_Teaching_Kitchen-Indianapolis_Indiana.html,"Learn how to make authentic Japanese dishes like Sushi, Miso Soup, Pot Stickers, Fried Rice, and Teriyaki Chicken are a few of the dishes you can make with confidence. There is also a Vegan class, Bento making class, and other Sushi classes as well. Private parties and Team Building sessions are also avaiable.",The food here was so fresh that made me wants to eat more and more. Not to mention the staffs here were very friendly and always ready to help when I needed them. Definately wpuld come back for more,1766
Tibbs Drive-In,"480 S Tibbs Ave, Indianapolis, IN 46241-1620",46241,4,18,https://www.tripadvisor.com/Attraction_Review-g37209-d7119015-Reviews-Tibbs_Drive_In-Indianapolis_Indiana.html,Tibbs Drive-In,I Love coming to this drive In. They have good food and great movies! I have always had a good time here even as a kid.,2068
Enroute Spa,"7800 Col H Weir Cook Mem Dr Ste 24, Indianapolis, IN 46241-8003",46241,5,3,https://www.tripadvisor.com/Attraction_Review-g37209-d8803468-Reviews-Enroute_Spa-Indianapolis_Indiana.html,Enroute Spa,"I had a 30 minute deep tissue massage (in a room) at the B Terminal location.  Best way to kill time.  I have back issues, so this was perfect in the midst of days of travel.  I wish I remembered my therapist's name because she was great.  Sorry.  I just wish I had more time to get my nails and toes done!  Great way for the female traveler to check somethings off your to-do list!",2319
Checkered Flag Tavern,"5725 W Morris St, Indianapolis, IN 46241-2065",46241,3.5,6,https://www.tripadvisor.com/Attraction_Review-g37209-d5834034-Reviews-Checkered_Flag_Tavern-Indianapolis_Indiana.html,Checkered Flag Tavern,,2904
Evo Rock + Fitness Indy,"1931 Stout Field West Dr, Indianapolis, IN 46241-4020",46241,5,1,https://www.tripadvisor.com/Attraction_Review-g37209-d7957951-Reviews-Evo_Rock_Fitness_Indy-Indianapolis_Indiana.html,Evo Rock + Fitness Indy,,3169
Ragnarok Axe Throwing,"8445 Castleton Corner Dr, Indianapolis, IN 46250-3580",46250,5,269,https://www.tripadvisor.com/Attraction_Review-g37209-d15189469-Reviews-Ragnarok_Axe_Throwing-Indianapolis_Indiana.html,"Axe Throwing is the newest and hottest form of active entertainment. Invite your friends, family or coworkers out for pulse-pounding, adrenaline filled-fun as you learn to hit bullseyes with an axe! If you are looking for an activity that will be etched into your mind for eternity, THIS IS IT!",,271
Breakout Games - Indianapolis (Castleton),"8455 Castlewood Dr Suite A, Indianapolis, IN 46250-4747",46250,4.5,845,https://www.tripadvisor.com/Attraction_Review-g37209-d8654691-Reviews-Breakout_Games_Indianapolis_Castleton-Indianapolis_Indiana.html,"This isn’t your average outing or everyday experience—Breakout is for those who would rather solve mysteries than watch someone else have all the fun. With different rooms that follow unique story-lines, you and your friends will have 60 minutes to escape your adventure of choice by cracking codes, solving puzzles and following clues. Part problem solving, part adrenaline, end-to-end fun!",,471
Castleton Square,"6020 E 82nd St, Indianapolis, IN 46250-4746",46250,4,45,https://www.tripadvisor.com/Attraction_Review-g37209-d7377886-Reviews-Castleton_Square-Indianapolis_Indiana.html,"Castleton Square is the largest mall in the state of Indiana, serving the northern Indianapolis metro area, which includes the affluent communities of Carmel, Fishers, and Noblesville. This indoor climate controlled mall boasts four major department stores, a food court, play area, and specialty shops ranging from jewelry to women's fashions to sporting goods. Among the 130 stores, this shopping magnet features Macy's, Forever 21, H&M, The LEGO Store, and Build-A-Bear Workshop. Shoppers will also find exciting dining options from sit-down restaurants such as McAlister's Deli to grab and go choices such as Chick-fil-A. Top off your visit with a movie at our 14 screen AMC Theatre. Castleton Square is conveniently located off I-465, exit Allisonville Road. From the entire team at Castleton Square, we look forward to your visit with us soon!","I really was enjoying this mall. I liked the selection of stores, everything was looking super clean and tidy. We even stopped and got cookies from Blondies Cookies. I didn’t know how bad the mall was until I went to use the bathroom and walked into a stall that had a needle from drugs and a belt sitting above the toilet. I left as soon as I saw it and suffered without using the restroom.",950
Chateau De Pique Winery,"6725 E 82nd St, Indianapolis, IN 46250-1505",46250,3,11,https://www.tripadvisor.com/Attraction_Review-g37209-d10842354-Reviews-Chateau_De_Pique_Winery-Indianapolis_Indiana.html,Chateau De Pique Winery,"ZERO Customer Service. Used their form to order Charcuterie board. No call back. Called in three separate days during work hours. No one answered the phone. Left messages in all three days requesting call back. Never received a call back. So, extremely UNPROFESSIONAL. AVOID.",1507
Indy Massage Company,"4735 Statesmen Dr Suite D, Indianapolis, IN 46250-5646",46250,5,17,https://www.tripadvisor.com/Attraction_Review-g37209-d15355621-Reviews-Indy_Massage_Company-Indianapolis_Indiana.html,"If you a ready to treat yourself to the next level of wellness Indy Massage Company is the right place for you. We offer a variety of modalities to target optimal results. Whether you are in need to improve the health of your skin with a rejuvenating facial or relieve stress and pain with a customized massage, our skilled therapists will help achieve your goals. Book today or schedule a free consultation to exceed your expectations prior to appointment.",,1845
Healthy Habits Therapeutic Massage,"5511 E 82nd St Ste B, Indianapolis, IN 46250-4698",46250,5,7,https://www.tripadvisor.com/Attraction_Review-g37209-d8706215-Reviews-Healthy_Habits_Therapeutic_Massage-Indianapolis_Indiana.html,"Hi my name is Jackie and I have been practicing therapeutic massage since 2007, when I was certified for Swedish, Deep Tissue, and Hot Stone massages. I am a professional therapist providing a very relaxing, full body massage. Make an appointment today, it will be the best decision you make for your mind, body, and soul.",,1914
Smiley,"5729 E 86th St, Indianapolis, IN 46250-1560",46250,4,8,https://www.tripadvisor.com/Attraction_Review-g37209-d18184961-Reviews-Smiley-Indianapolis_Indiana.html,"Smiley is a huge 25,000 sq foot facility in Castleton filled with the latest Virtual Reality technology. We have very rare and unique interactive games and rides for children of all ages. Our playgrounds are for age 9 months to 10 years old and our VR spaces are for ages 9 years and up! We also have an enormous indoor playground with trampoline basketball, tubes & slides, rock-climbing, obstacle",This place is great! My 5-year old enjoys it immensely. There are a number of different areas to play in and even a rice pit! There is an arcade and even a little Lego area for the kids. There is a birthday option as well. If we lived closer we would be here all the time! They do absolutely insist on having to buy their socks. You can’t use any socks from any other establishment.,1962
Anarchy Axe Throwing,"9546 Allisonville Rd, Indianapolis, IN 46250-1282",46250,4.5,6,https://www.tripadvisor.com/Attraction_Review-g37209-d17819042-Reviews-Anarchy_Axe_Throwing-Indianapolis_Indiana.html,Anarchy Axe Throwing,Great staff who was very helpful in teaching the right way to throw.  Drinks were priced just right and a good selection.  Fun date night experience!  Ask to use the knives and throwing stars!,2001
Game Show Battle Rooms,"5753 E 86th St, Indianapolis, IN 46250-1560",46250,5,3,https://www.tripadvisor.com/Attraction_Review-g37209-d25068094-Reviews-Game_Show_Battle_Rooms-Indianapolis_Indiana.html,"You're IN the Game Show! Game Show Battle Rooms is one of the nation's only immersive game show experiences for everyone to enjoy. Face-off against your friends, family, or coworkers in our custom arenas playing classic game shows! All hosted by our entertaining and engaging hosts. Perfect for your next birthday party, friend or family outing, or your next corporate team-building event!",,2188
Penzeys Spices,"5345 E 82nd St, Indianapolis, IN 46250-4510",46250,4.5,7,https://www.tripadvisor.com/Attraction_Review-g37209-d3207319-Reviews-Penzeys_Spices-Indianapolis_Indiana.html,Penzeys Spices,"If you cook, or aspire to, this is the place to go. Fresh spices and some interesting blends. If you don't want to read his political opinions, sign off the email- that has nothing to do with the variety and quality of the products. If you don't want to support him, don't shop there. It is your loss- shop elsewhere.",2218
AMC Castleton Square 14,"6020 E 82nd St, Indianapolis, IN 46250-4746",46250,4,6,https://www.tripadvisor.com/Attraction_Review-g37209-d15028365-Reviews-AMC_Castleton_Square_14-Indianapolis_Indiana.html,AMC Castleton Square 14,,2318
Escape This Live,"9546 Allisonville Rd Ste. 127, Indianapolis, IN 46250-1282",46250,4,3,https://www.tripadvisor.com/Attraction_Review-g37209-d15325440-Reviews-Escape_This_Live-Indianapolis_Indiana.html,Escape This Live,"We chose a night and the castle. It was our first time doing any escape room so we didn’t really know what we were doing but Prince Parker and Queen Hannah helped us feel comfortable, get going on the hunt and helped us move in the right direction. We didn’t make it the end this time but it was so much fun trying ❤️ I definitely recommend it",2558
Yang’s Foot Spa,"4901 E 82nd St Suite #400, Indianapolis, IN 46250-1798",46250,4,2,https://www.tripadvisor.com/Attraction_Review-g37209-d17835757-Reviews-Yang_s_Foot_Spa-Indianapolis_Indiana.html,"""Are you looking for the perfect Asian massage in Indianapolis? Well look no further! You can Book your appointment now at Yang’s Foot Spa. Were we offer you professional original Asian bodywork! you will never be disappointed. call us to book your appointment or feel free to walk-in”",,2708
Sahm Golf Course,"6801 E 91st St, Indianapolis, IN 46250-4447",46250,3,10,https://www.tripadvisor.com/Attraction_Review-g37209-d10408294-Reviews-Sahm_Golf_Course-Indianapolis_Indiana.html,Sahm Golf Course,there is this kid in the woods towards the back of the course that sells golf balls he finds in the woods for a dollar. He is super nice and I recommend saying hi and buying something from him.,2743
Defy,"8356 Masters Rd, Indianapolis, IN 46250-1538",46250,3,8,https://www.tripadvisor.com/Attraction_Review-g37209-d15073945-Reviews-Defy-Indianapolis_Indiana.html,Defy,"We had our son's 9th birthday party here (never been prior to) and it was a joke!  VERY POORLY organized.  Let's start with the arrival into the parking lot - interesting! Pull in and there is some kind of car parade just going through the parking lot over and over, not allowing much room to enter parking area. Once into the parking lot there was a huge crowd of people just standing in the middle of the road, one guy appeared to be drinking moonshine. First thoughts before entering the building was, oh AWESOME WE ARE IN THE GHETTO!  I was immediately turned off and rather embarrassed for our guest to arrive.  Once in the building, it was loud and very unorganized, it took forever to get all the guest checked in and people were all over the place.  Our party room 1 was okay, a bit run down (holes in the wall) and dirty. Our hostess, well I'm not even sure we had one!  I recall being checked on ONE time other than that we were on our own! They certainly did not HOST THIS! They never announced or gathered the kids to come for food and gifts. Nor did they sing Happy Birthday.  A t-shirt was part of our package and we never received that. OH and the restrooms, were DISGUSTING!!!!! No wonder the party package was so cheap, this place is trash!  Stick to Sky Zone or Urban Air.....any place other than here! I don't typically leave reviews, but this place was so bad, people need to know before they go!",2958
Monkey Joe's Castleton,"5661 E 86th St, Indianapolis, IN 46250-5572",46250,3,1,https://www.tripadvisor.com/Attraction_Review-g37209-d12119404-Reviews-Monkey_Joe_s_Castleton-Indianapolis_Indiana.html,"Welcome to Monkey Joe’s Castleton, the best place for indoor play and kids parties in Indianapolis! Are your kids ready for a day of bouncing, sliding, leaping, jumping fun? If so they’ll love monkeying around our inflatable playground, which is filled wall-to-wall with inflatable fun, from bouncy slides to certified jumps. We even have an inflatable obstacle course!",,2987
eBash Video Game Center,"6609 E 82nd St, Indianapolis, IN 46250-1504",46250,4,1,https://www.tripadvisor.com/Attraction_Review-g37209-d7155410-Reviews-EBash_Video_Game_Center-Indianapolis_Indiana.html,eBash Video Game Center,,3024
Dave & Buster's - Arcade,"8350 Castleton Corner Dr, Indianapolis, IN 46250-3577",46250,3,58,https://www.tripadvisor.com/Attraction_Review-g37209-d3530280-Reviews-Dave_Buster_s_Arcade-Indianapolis_Indiana.html,"At Dave & Buster's you can play hundreds of the hottest new arcade games in our Million Dollar Midway and win tickets for epic prizes. Try our mouth-watering, chef-crafted creations in our American restaurant. From wings to steaks, we've got whatever suits your appetite. Our premium sports bar features innovative cocktails, impressive wine selection, and 20+ beers to assure we're stocked to satisfy! Watch your team on one of our massive HDTVs with epic stadium sound that surrounds you from every direction in the sports bar that crushes the competition. Invite all your friends or coworkers for an unforgettable party or event! We work with every size and budget to make planning easy so you can focus on the FUN!",,3033
Eagle Creek Park,"7840 W 56th St, Indianapolis, IN 46254-9706",46254,4.5,342,https://www.tripadvisor.com/Attraction_Review-g37209-d274124-Reviews-Eagle_Creek_Park-Indianapolis_Indiana.html,Eagle Creek Park,,95
Republic Theatres Georgetown 14,"3898 Lafayette Rd, Indianapolis, IN 46254-2554",46254,4,4,https://www.tripadvisor.com/Attraction_Review-g37209-d3652126-Reviews-Republic_Theatres_Georgetown_14-Indianapolis_Indiana.html,Republic Theatres Georgetown 14,Excellent place. It is so much cheaper than in Indy and you don't have to worry about savages ruining your experience. Put your phone up and shut up or get out. A large popcorn and 2 large sodas for like 12 bucks,2888
Global Village Welcome Center,"4233 Lafayette Rd, Indianapolis, IN 46254-2412",46254,3,1,https://www.tripadvisor.com/Attraction_Review-g37209-d24129568-Reviews-Global_Village_Welcome_Center-Indianapolis_Indiana.html,Global Village Welcome Center,"The Global Village Center sits in a shopping plaza in suburban Indianapolis amidst a multi-ethnic neighborhood. The large, spacious Center contains exhibit areas of global cultures, display an area of special exhibits, an event venue, and a gift shop of international handicrafts. ",2957
Xscape,"3919 Lafayette Rd, Indianapolis, IN 46254-2531",46254,3,6,https://www.tripadvisor.com/Attraction_Review-g37209-d1407443-Reviews-Xscape-Indianapolis_Indiana.html,"Xscape is a 75,000 square foot family entertainment center located in Indianapolis, Indiana. The first facility of its kind in Indiana, Xscape is an indoor theme park designed to include a gourmet buffet style restaurant, themed dining rooms, a sports bar, and a ride and game area featuring amusement style rides, go karts, mini bowling, laser tag, bumper cars, a 4D theater, mini golf, and the best and newest arcade games. Unlike most other entertainment centers, Xscape offers both kid and adult friendly environments.","This place is sort of run-down, but it was a fantastic way to spend some family time.  It definitely was not crowded and you got a lot of food and fun for your money!",2998
Skateland,"3902 N Glen Arm Rd, Indianapolis, IN 46254-2705",46254,1,1,https://www.tripadvisor.com/Attraction_Review-g37209-d12276394-Reviews-Skateland-Indianapolis_Indiana.html,Skateland,,3293
Climb Time Indy,"8750 Corporation Dr, Indianapolis, IN 46256-1289",46256,3.5,31,https://www.tripadvisor.com/Attraction_Review-g37209-d1005784-Reviews-Climb_Time_Indy-Indianapolis_Indiana.html,"Climb Time Indy is dedicated to providing the best that rock climbing has to offer. We are focused on maintaining a safe environment where climbers of all ability levels and ages can get better, learn more and above all else, have fun climbing. Climb Time offers a wide range of difficulty levels from very easy to moderate to extremely difficult. Whether you are looking for powerful bouldering, sustained routes, or just a day out with the family, Climb Time Indy has what you are looking for!",,2077
The Grill,"9755 Fall Creek Rd, Indianapolis, IN 46256-4713",46256,3.5,9,https://www.tripadvisor.com/Attraction_Review-g37209-d5832649-Reviews-The_Grill-Indianapolis_Indiana.html,The Grill,,2727
UA Galaxy Stadium 14 Movie Theater,"8105 E 96th St, Indianapolis, IN 46256-1012",46256,3.5,14,https://www.tripadvisor.com/Attraction_Review-g37209-d8696348-Reviews-UA_Galaxy_Stadium_14_Movie_Theater-Indianapolis_Indiana.html,UA Galaxy Stadium 14 Movie Theater,We decided to see a movie while we were in Indy. Chose this theater because it was fairly close to where we stayed. Popcorn and drinks were fine. About the same as most theaters. I will say the seating was not very comfortable. The chairs were different and didn't provide support for the neck or head for anyone in my group. Was probably the worst seat style in any theater I've been to. ,3408
Buck Creek Winery,"11747 Indian Creek Rd S, Indianapolis, IN 46259-1056",46259,4.5,53,https://www.tripadvisor.com/Attraction_Review-g37209-d2413173-Reviews-Buck_Creek_Winery-Indianapolis_Indiana.html,Buck Creek Winery,,305
Brandywine Creek Vineyard & Winery,"12524 Southeastern Ave # 1152, Indianapolis, IN 46259-1152",46259,5,1,https://www.tripadvisor.com/Attraction_Review-g37209-d24126636-Reviews-Brandywine_Creek_Vineyard_Winery-Indianapolis_Indiana.html,Brandywine Creek Vineyard & Winery,"I am going to have to go back and count all of the vineyards and wineries my wife and I have sampled over the past 25 years, they number in the dozens. This location is top tier.",2594
Holliday Park,"6363 Spring Mill Rd, Indianapolis, IN 46260-4241",46260,4.5,175,https://www.tripadvisor.com/Attraction_Review-g37209-d2572220-Reviews-Holliday_Park-Indianapolis_Indiana.html,Holliday Park,"Indianapolis is bigger than you think it is. Indiana's state capital covers 368 square miles with more than 2 million people living in the metropolitan area. But there is plenty of green space, lots of parks. One is Holliday Park. Located at 6363 Spring Mill Road, on the city's north side, it is a 94-acre park that features a 13,000-square-foot Nature Center, one of the city's finest playgrounds, more than 3.5 miles of hiking trails, the ruins of a late 19th century building, lush gardens, a rock garden and an arboretum with over 1,200 individual trees labeled by species. And walk along the banks of the White River. The park is part of the country estate of John and Evaline Holliday, who donated the land to the city in 1916. Today, during all seasons, hikers explore the trails looking for wildflowers, birds, deer and beaver, kids revel in the playgrounds, trying to scale the rock climbing wall or one of three slide towers, visitors relish the beauty and landscaping of the gardens and anglers fish for bass and bluegill. From a historical standpoint, I was most interested in the ruins of of the St.  Paul Building, which once stood at 220 Broadway in New York City. After it was torn down in the 1950s, a competition was held to find a new home for the facade of the building and three massive statues called ""the Races of Man"" made of Indiana limestone that were designed by noted architectural sculptor Karl Bitter. Indianapolis won, proposing to place them in Holliday Park.",146
Beef & Boards Dinner Theatre,"9301 Michigan Rd, Indianapolis, IN 46268-3108",46268,4.5,262,https://www.tripadvisor.com/Attraction_Review-g37209-d3722437-Reviews-Beef_Boards_Dinner_Theatre-Indianapolis_Indiana.html,"Beef & Boards Dinner Theatre has been serving up food, fun and fabulous live entertainment for everyone since 1973. The theatre is named for the delicious hand-card roast beef served before performances, and the ""boards"" or stage of a theatre. Each season includes a variety of professional Broadway shows and plays. But a visit to Beef & Boards is more than just great theatre! We offer a tasty dinner buffet prepared by our in-house executive chef, plus a full-service bar and gourmet desserts. Be sure to stop by the Intermission gift shop for unique gift ideas, and ask about seeing more shows for less through our VIP membership program. Come see why each year more and more people discover the value and quality of Beef & Boards Dinner Theatre! Beef & Boards is a member of Actors' Equity Association, the only union for professional actors in legitimate theatre.","I'm an actor myself, and I thoroughly enjoyed the show at Beef & Boards.  Originally, Indianapolis rivaled NYC in theater.  I'm glad to know there is still professional theater in Indy.  The food was fine, so it all made for an enjoyable evening.  Understand that a tip on top of the expense will be expected, so it's not an all inclusive price.  But it was a delightful evening.",670
Traders Point Winery,"5520 W 84th St, Indianapolis, IN 46268-1521",46268,4,3,https://www.tripadvisor.com/Attraction_Review-g37209-d11871733-Reviews-Traders_Point_Winery-Indianapolis_Indiana.html,Traders Point Winery,"Great wines & very friendly & knowledgeable service......give this place a try, the wines will not disappoint!!",1193
The SportZone,"6601 Coffman Rd, Indianapolis, IN 46268-2598",46268,2.5,9,https://www.tripadvisor.com/Attraction_Review-g37209-d274339-Reviews-The_SportZone-Indianapolis_Indiana.html,"An indoor haven for the sports-minded, this six-acre facility offers baseball, basketball, soccer, volleyball and flag football areas as well as a comprehensive, state-of-the-art fitness center. There's something for everyone in the family, whether they want to partake or just watch.",,1199
Pike Performing Arts Center,"6701 Zionsville Rd, Indianapolis, IN 46268-2462",46268,5,3,https://www.tripadvisor.com/Attraction_Review-g37209-d11877664-Reviews-Pike_Performing_Arts_Center-Indianapolis_Indiana.html,Pike Performing Arts Center,"Best place to see a show choir competition.  Facility is top notch with ample seating.  (And real seats, not gym bleachers.) Lots of bathrooms and every seat is a good one, even in balcony.  This place was built for acrostics!   ",1210
"Wabash Brewing, LLC","5328 W 79th St, Indianapolis, IN 46268-1631",46268,4.5,7,https://www.tripadvisor.com/Attraction_Review-g37209-d9806686-Reviews-Wabash_Brewing_LLC-Indianapolis_Indiana.html,"Wabash Brewing, LLC","In town to visit family and decided try this place out for a taste of local beer and food and we were not disappointed! We tried half a dozen beers (they’re not shy about giving samples!) before settling on our favorites. Hubby got the Baconface Brown Ale, which contrary to the name does NOT contain bacon, but was wonderful nonetheless. I drank the Eagle Stout, a delicious, smooth beer from start to finish. For dinner we started with the baked marinara with local goat cheese - great flavor combination and came with perfectly crispy thin baguette slices! He chose the Karmichael, a molten brie sandwich with tomatoes, basil, peppered bacon and garlic aioli. It was rich but ridiculously tasty! I had the wedge salad, surprisingly large for $7 and served with a house-made Gorgonzola cream dressing. All in all, these two businesses knocked it out of the park. Highly recommend!",1297
Deviate Brewing,"4004 W 96th St, Indianapolis, IN 46268-2909",46268,4.5,14,https://www.tripadvisor.com/Attraction_Review-g37209-d8755949-Reviews-Deviate_Brewing-Indianapolis_Indiana.html,Deviate Brewing,"Deviate offers outstanding brews at a good price. Service was excellent. I'd particularly recommend their Chunkin Heaters, Teachers' Lounge, and Electric Socks beers.",1363
Northwestway Park,"5253 W 62nd St, Indianapolis, IN 46268-4447",46268,3.5,2,https://www.tripadvisor.com/Attraction_Review-g37209-d17722895-Reviews-Northwestway_Park-Indianapolis_Indiana.html,Northwestway Park,It's a Very nice and Good sized Indianapolis park. has Basketball courts and a Pool Aquatic Center. but I enjoyed it just to get outdoors once in a while.,1593
Family Time Games,"8796 Michigan Rd, Indianapolis, IN 46268-1123",46268,4.5,3,https://www.tripadvisor.com/Attraction_Review-g37209-d9583057-Reviews-Family_Time_Games-Indianapolis_Indiana.html,Family Time Games,,2332
Traders Brewing Company,"8587 Zionsville Rd, Indianapolis, IN 46268-1511",46268,4,1,https://www.tripadvisor.com/Attraction_Review-g37209-d19114496-Reviews-Traders_Brewing_Company-Indianapolis_Indiana.html,Traders Brewing Company,,3079
Amc Showplace Traders Point 12,"5920 W 86th St, Indianapolis, IN 46278-1406",46278,3.5,5,https://www.tripadvisor.com/Attraction_Review-g37209-d13864072-Reviews-Amc_Showplace_Traders_Point_12-Indianapolis_Indiana.html,Amc Showplace Traders Point 12,,1263
Gatsbys,"6335 Intech Commons Dr, Indianapolis, IN 46278-1680",46278,5,1,https://www.tripadvisor.com/Attraction_Review-g37209-d5842700-Reviews-Gatsbys-Indianapolis_Indiana.html,"Thanks for coming in and posting a review!  We appreciate your business and look forward to seeing you again.  We want everyone to feel welcome, enjoy great food, and have a good time.","Best pub in town. The food is great. Wide variety of drink specials to meet all tastes. The staff is the friendliest in town. I have never had better service. Even the hostess was outstanding. I have never had someone meet & great me with such warmth and humor. Best thing about this place is the smiles. If you are visiting and staying in one of the near by hotels, this is definitely the place to visit. ",3123
Avant Garde Limousines & Coach,"6330 Corporate Drive Suite A, Indianapolis, IN 46278",46278,5,1,https://www.tripadvisor.com/Attraction_Review-g37209-d26848804-Reviews-Avant_Garde_Limousines_Coach-Indianapolis_Indiana.html,Avant Garde Limousines & Coach,,3690
Indiana Massage College,"10585 N Meridian St Suite 102, Indianapolis, IN 46290-1069",46290,5,2,https://www.tripadvisor.com/Attraction_Review-g37209-d12191469-Reviews-Indiana_Massage_College-Indianapolis_Indiana.html,Indiana Massage College,,2324
North Shore Beach,"Lake View Drive & Broadway, Beverly Shores, IN 46301",46301,4.5,14,https://www.tripadvisor.com/Attraction_Review-g36935-d3257275-Reviews-North_Shore_Beach-Beverly_Shores_Indiana.html,North Shore Beach,,541
